id,text,swipe,district
37c8c8c8d6b25ff7fbd4bd92,karbener straße 5,t,bornheim
7d7053bec0829151665e5976,brühlfeld 39,f,heddernheim
37c8c8c8d6b25ff7fbd4bd92,münchener straße 37,t,bahnhofsviertel
7d7053bec0829151665e5976,breubergstraße 31,f,niederrad
7d7053bec0829151665e5976,böcklinstraße 6,f,sachsenhausen-n
37c8c8c8d6b25ff7fbd4bd92,sondershausenstraße 61,t,gallus
7d7053bec0829151665e5976,edisonstraße 13,t,bergen-enkheim
37c8c8c8d6b25ff7fbd4bd92,zum bergwerk 20,f,kalbach-riedberg
7d7053bec0829151665e5976,obermainstraße 5,f,ostend
37c8c8c8d6b25ff7fbd4bd92,liebfrauenberg 26,t,altstadt
7d7053bec0829151665e5976,lersnerstraße 3,f,nordend-west
7d7053bec0829151665e5976,faulbrunnenweg 14,t,nied
7d7053bec0829151665e5976,konstantinstraße 3,f,heddernheim
7d7053bec0829151665e5976,stargarder straße 6,f,bergen-enkheim
7d7053bec0829151665e5976,starkenburger straße 77,f,fechenheim
7d7053bec0829151665e5976,schillerstraße 20,t,innenstadt
37c8c8c8d6b25ff7fbd4bd92,sossenheimer mühlgasse 8,f,sossenheim
37c8c8c8d6b25ff7fbd4bd92,kelsterbacher straße 41,f,niederrad
7d7053bec0829151665e5976,in den grummetwiesen 27,t,praunheim
37c8c8c8d6b25ff7fbd4bd92,johanna-kirchner-straße 36,t,praunheim
7d7053bec0829151665e5976,hebelstraße 2,f,nordend-west
7d7053bec0829151665e5976,mittlerer hasenpfad 43,f,sachsenhausen-s
37c8c8c8d6b25ff7fbd4bd92,preungesheimer straße 15,t,bornheim
37c8c8c8d6b25ff7fbd4bd92,riedhalsstraße 18,f,harheim
7d7053bec0829151665e5976,deuil-la-barre-straße 27,f,nieder-eschbach
37c8c8c8d6b25ff7fbd4bd92,westring 6,f,praunheim
7d7053bec0829151665e5976,braunfelsstraße 10,f,bockenheim
37c8c8c8d6b25ff7fbd4bd92,in der beginenklause 11,t,oberrad
7d7053bec0829151665e5976,zum laurenburger hof 10,f,sachsenhausen-n
37c8c8c8d6b25ff7fbd4bd92,lauterbacher straße 67,f,fechenheim
37c8c8c8d6b25ff7fbd4bd92,scherbiusstraße 3,f,bockenheim
7d7053bec0829151665e5976,alt-bergen 6,f,bergen-enkheim
37c8c8c8d6b25ff7fbd4bd92,beethovenplatz 3,f,westend-süd
7d7053bec0829151665e5976,am hollerbusch 14,t,nieder-eschbach
7d7053bec0829151665e5976,atzelbergstraße 17,f,seckbach
37c8c8c8d6b25ff7fbd4bd92,oberer kalbacher weg 36,t,bonames
7d7053bec0829151665e5976,stettiner straße 8,f,bergen-enkheim
7d7053bec0829151665e5976,kleiststraße 6,f,nordend-west
7d7053bec0829151665e5976,libellenweg 24,t,schwanheim
7d7053bec0829151665e5976,louis-pasteur-straße 113,f,niederursel
7d7053bec0829151665e5976,wildgäßchen 51,f,oberrad
7d7053bec0829151665e5976,korffstraße 31,f,harheim
7d7053bec0829151665e5976,raiffeisenstraße 40,f,riederwald
7d7053bec0829151665e5976,neumannstraße 24,t,eschersheim
7d7053bec0829151665e5976,wolfhagener straße 24,t,dornbusch
7d7053bec0829151665e5976,max-beckmann-straße 22,f,sachsenhausen-s
7d7053bec0829151665e5976,ilkenhansstraße 4,f,eschersheim
7d7053bec0829151665e5976,im feldchen 41,f,nieder-erlenbach
7d7053bec0829151665e5976,merziger weg 18,f,schwanheim
7d7053bec0829151665e5976,am ebelfeld 111,f,praunheim
7d7053bec0829151665e5976,scherbiusstraße 4,f,bockenheim
7d7053bec0829151665e5976,auf der schloßhecke 3,f,ginnheim
7d7053bec0829151665e5976,geschwister-scholl-straße 104,f,praunheim
7d7053bec0829151665e5976,andreasstraße 2,f,höchst
7d7053bec0829151665e5976,am eisernen schlag 78,f,ginnheim
7d7053bec0829151665e5976,esperantostraße 6,f,sachsenhausen-s
7d7053bec0829151665e5976,nansenring 17,f,sachsenhausen-s
7d7053bec0829151665e5976,berner straße 91,t,nieder-eschbach
7d7053bec0829151665e5976,gerhart-hauptmann-ring 82,f,niederursel
7d7053bec0829151665e5976,hahnenkammstraße 3,f,bergen-enkheim
7d7053bec0829151665e5976,alt-schwanheim 35,t,schwanheim
7d7053bec0829151665e5976,loreleistraße 108,f,unterliederbach
7d7053bec0829151665e5976,im burgfeld 137,f,heddernheim
7d7053bec0829151665e5976,letzter hasenpfad 172,f,sachsenhausen-s
7d7053bec0829151665e5976,bornemannstraße 13,f,sachsenhausen-s
7d7053bec0829151665e5976,fallerslebenstraße 5,f,dornbusch
7d7053bec0829151665e5976,wilhelm-flögel-ring 3,f,nieder-eschbach
7d7053bec0829151665e5976,jakob-heller-straße 11,f,dornbusch
7d7053bec0829151665e5976,leutholdstraße 10,t,bonames
7d7053bec0829151665e5976,fritz-schubert-ring 28,f,bergen-enkheim
7d7053bec0829151665e5976,malßstraße 17,f,dornbusch
7d7053bec0829151665e5976,schönwetterstraße 7,t,dornbusch
